Belgien;9
D�nemark;1
Finnland;16
Frankreich;77
Griechenland;43
Gro�britannien und Nordirland;44
Italien;184
Irland;14
Luxemburg;2
Niederlande;13
�sterreich;86
Portugal;46
Schweden;6
Spanien;145
Bosnien und Herzegowina;13
Bulgarien;231
Jugoslawien (Serbien/Montenegro);-
Serbien und Montenegro (ab 1.1.2004);-
Serbien (ab 01.08.2006);-
Serbien ohne Kosovo (ab 01.05.2008);24
Kosovo (ab 01.05.2008);15
Montenegro (ab 01.08.2006);1
Estland;2
Island;-
Kroatien;36
Lettland;11
Litauen;9
Mazedonien;6
Moldau, Republik;4
Norwegen;2
Polen;198
Rum�nien;329
Russische F�deration;46
Schweiz;30
Slowakei;83
Slowenien;14
Tschechien;142
T�rkei;146
Ukraine;40
Ungarn;228
Wei�russland;2
Ehem. Jugoslawien o.n.A.;-
Ehem. Sowjetunion o.n.A.;-
Ehem. Tschechoslowakei o.n.A.;-
�gypten;1
Algerien;6
Ghana;1
Kamerun;5
Liberia;-
Marokko;8
Nigeria;7
Sierra Leone;-
Sudan;-
Togo;2
Tunesien;9
Brasilien;56
Kanada;15
Kuba;6
Vereinigte Staaten;140
Armenien;2
Aserbaidschan;2
China;61
Georgien;8
Irak;16
Iran;7
Kasachstan;5
Kirgistan;2
Tadschikistan;-
Turkmenistan;-
Usbekistan;1
Vietnam;15